business_date,branch_code,net_sales,transaction_count,currency,data_origin
2026-07-01,SUC-001,42500.00,350,NIO,SIMULATED
2026-07-01,SUC-002,31890.50,285,NIO,SIMULATED
2026-07-01,SUC-003,50720.00,410,NIO,SIMULATED
2026-07-01,SUC-004,46210.75,392,NIO,SIMULATED
2026-07-01,SUC-005,28950.25,244,NIO,SIMULATED
2026-07-02,SUC-001,43810.00,361,NIO,SIMULATED
2026-07-02,SUC-002,32750.00,291,NIO,SIMULATED
2026-07-02,SUC-003,49840.60,402,NIO,SIMULATED
2026-07-02,SUC-004,47190.25,399,NIO,SIMULATED
2026-07-02,SUC-005,30210.80,251,NIO,SIMULATED
